rndrng_prvdr_type,total_providers,avg_risk_score,high_risk_providers,total_medicare_payment,total_services
Addiction Medicine,280,8.47971468245616,0,6613547.2700000005,128442.0
Adult Congenital Heart Disease,60,7.357394675823714,0,2342182.31,37719.0
Advanced Heart Failure and Transplant Cardiology,828,8.063705340635373,0,69034087.36,1172043.0
All Other Suppliers,50,26.06253487890859,3,72362194.74,540791.6
Allergy/ Immunology,3274,19.47884427398855,23,462273793.31,25465118.1
Ambulance Service Provider,9324,31.131590774012533,326,4454182844.12,115249869.6
Ambulatory Surgical Center,5667,43.923867876487314,89,6013483031.26,49942356.1
Anesthesiology,41082,11.235332780758398,5,1358956301.05,20595459.1
Anesthesiology Assistant,3507,11.465980756119825,0,34979096.22,378453.0
Audiologist,7608,6.5542181568620554,0,55515276.36,2425399.0
Cardiac Surgery,1094,14.672779545458042,0,127461598.08,493280.0
Cardiology,19764,16.448352911852457,22,3699996769.85,63125622.1
Centralized Flu,10073,16.7945372645218,15,913178500.509,11546071.0
Certified Clinical Nurse Specialist,1426,7.606462134322872,5,46001115.22,1198264.4
Certified Nurse Midwife,943,6.391995997312013,0,3311370.06,74415.0
Certified Registered Nurse Anesthetist (CRNA),53495,10.752390208243535,0,802244943.24,7491147.2
Chiropractic,32394,10.055452605433963,0,441190286.2,17141644.1
Clinic or Group Practice,48,15.324266524494432,0,630867.62,16827.0
Clinical Cardiac Electrophysiology,2559,19.694508921032785,1,591429670.95,9498517.0
Clinical Laboratory,2743,35.247690539276185,303,6928001794.754,304775826.6
Colorectal Surgery (Proctology),1683,6.748153625418997,1,123112839.26,782956.0
Critical Care (Intensivists),5039,5.958301755526768,0,276483662.53,2959425.5
Dental Anesthesiology,1,7.29087290341303,0,12446.21,162.0
Dentist,203,8.652541289389347,0,4559703.0200000005,49485.0
Dermatology,12616,18.756401527237486,40,3266719398.28,52844459.4
Diagnostic Radiology,32843,22.6513963066204,45,4113340990.64,218015183.1
Emergency Medicine,50101,7.623192397223699,20,2022982546.46,24951336.8
Endocrinology,6433,9.818303546958209,4,564723677.77,20129003.0
Epileptologists,25,5.431442108294724,0,996835.93,9437.0
Family Practice,83639,8.7373451838487,95,5265332572.46,129359858.1
Gastroenterology,14791,9.086277832416712,7,1344043669.48,28836995.5
General Practice,3556,12.278606392375828,18,440618771.82,5474558.0
General Surgery,21065,6.76877490338043,47,1568655315.79,10361225.6
Geriatric Medicine,1887,8.215917529155186,3,195485570.53,3288369.0
Geriatric Psychiatry,164,9.2702758143047,0,8482094.16,113677.0
Gynecological Oncology,1045,10.387738339548648,22,123197653.87,4692227.8
Hand Surgery,1658,11.681380045575164,0,220872097.79,4674280.3
Hematology,924,12.718940438583452,37,214204808.84,13075666.1
