rndrng_prvdr_state_abrvtn,total_providers,avg_risk_score,high_risk_providers,total_medicare_payment,total_services
AA,16,15.47530613958673,0,792998.23,23908.0
AE,77,8.953666715373306,0,3243695.59,39063.6
AK,3203,15.130063200412149,22,287047895.16,7337367.9
AL,18266,12.271588798037053,99,1637148000.89,59387469.7
AP,66,9.663974096560338,0,2341684.04,66426.0
AR,11027,12.963685640224758,71,1215902620.66,39532838.9
AS,1,18.07068500819039,0,3336.22,53.0
AZ,26694,11.613683004756396,173,3637294309.77,97730456.1
CA,105363,13.363870281610916,683,15515561113.86,380605643.2
CO,23031,10.043701299964447,99,1783590984.0,51745960.0
CT,18453,9.21361697373294,39,1115966344.17,27551306.3
DC,4125,10.087360164391269,9,287067015.04,7089637.9
DE,4931,12.124659151229372,27,555158416.13,15361640.2
FL,85872,12.543769643755136,656,12003491645.521,374407372.1
FM,1,7.763376272595841,0,38936.34,464.0
GA,37050,10.518920674793593,151,2986171257.48,93795908.6
GU,224,13.424614764353478,1,21820588.759999998,630353.5
HI,4493,9.384224525919553,6,264054339.32,6727154.7
IA,12873,10.686243839637118,47,975475489.11,31672549.1
ID,7078,9.52657541537565,26,614256833.589,13084746.9
IL,51368,11.011749597733488,262,4872599372.23,144170478.7
IN,26454,10.23262300736301,77,1973108293.33,73216316.3
KS,12403,11.744915441314276,56,1246353019.741,41792526.5
KY,19236,9.86812866072386,45,1210204980.31,35527006.5
LA,17695,10.426217413361854,52,1314733790.74,38928101.8
MA,38948,9.4869957554921,64,2838724424.47,71471266.3
MD,26679,12.45276782147772,162,3400894849.36,107518810.4
ME,7250,8.702125292358284,15,296076506.27,9624317.7
MI,43221,9.682799286215955,108,2518938194.02,64934708.1
MN,29299,8.135629120301571,71,1435189331.6,47041870.9
MO,25211,9.974718692386588,72,1732897020.81,54555546.1
MP,35,11.282455641098505,0,1453808.13,16709.5
MS,10080,13.291711265202428,74,1234009643.44,37291215.7
MT,5020,9.621255930910742,7,314984520.89,7194259.9
NC,44655,9.481584426303407,138,3263885974.93,109608734.1
ND,4198,9.22189975787427,8,235246282.95,7112961.8
NE,9069,11.502198034351151,42,765987557.47,27458854.2
NH,7464,9.761821484228218,13,446519845.76,11383691.2
NJ,39694,14.522278066637,162,4779670720.141,155759980.8
NM,6930,9.923582238002313,34,495041856.61,14437763.5
NV,9654,11.732352084207019,81,1339613919.65,33666188.4
NY,88642,12.903276954869712,228,7426551314.121,196314881.6
OH,52310,9.70883557374842,141,3162525880.3,89220457.0
OK,13862,12.200666813853713,87,1477341537.47,40762630.5
OR,16156,8.303956536680234,60,1077458474.93,32457262.4
PA,63361,9.472320849353355,173,4691631526.89,158774442.5
PR,4115,17.31090800305098,5,74970320.9,2339325.4
RI,5376,9.041276378276313,4,278457196.62,7338806.3
SC,20884,12.27243363474286,120,2208865057.41,70866022.9
SD,4725,11.55703295983932,16,308676220.14,12843672.3
TN,30048,11.55417218248257,190,2764216584.01,94279434.3
TX,86803,11.353921180718716,596,9690709194.26,279760168.5
UT,10697,8.767380618274068,52,815595172.59,20139646.4
VA,32889,11.267470970967459,165,3214180680.44,97512055.2
VI,171,13.734044353916708,1,12907717.17,408697.5
VT,3106,9.539867992035951,3,144645324.98,3542011.1
WA,29103,8.684969330096239,69,1961913430.44,51342996.9
WI,26902,10.452321743940665,37,1539030917.01,37532945.8
WV,7733,8.990491867167925,12,394750838.75,9841129.4
WY,2339,11.228309446346255,9,183586443.95,5822381.1
XX,27,16.244685039372715,0,5047745.5,188571.0
ZZ,83,8.753087493651023,0,2274705.24,40754.0
